"","id","player_of_match","toss_winner","t","winner","result","result_margin","eliminator","method","umpire_team","Field","FieldValue","TeamNumber","Team"
"3087",1136563,"SP Narine","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",4,"N",NA,"C Shamshuddin/A Deshmukh","date","08/04/2018","team1","Kolkata Knight Riders"
"3088",1136564,"S Dhawan","Sunrisers Hyderabad","field","Sunrisers Hyderabad","wickets",9,"N",NA,"VA Kulkarni/NJ Llong","date","09/04/2018","team1","Sunrisers Hyderabad"
"3089",1136565,"SW Billings","Chennai Super Kings","field","Chennai Super Kings","wickets",5,"N",NA,"CB Gaffaney/AK Chaudhary","date","10/04/2018","team1","Chennai Super Kings"
"3090",1136566,"SV Samson","Delhi Daredevils","field","Rajasthan Royals","runs",10,"N","D/L","KN Ananthapadmanabhan/Nitin Menon","date","11/04/2018","team1","Rajasthan Royals"
"3091",1136567,"Rashid Khan","Sunrisers Hyderabad","field","Sunrisers Hyderabad","wickets",1,"N",NA,"NJ Llong/CK Nandan","date","12/04/2018","team1","Sunrisers Hyderabad"
"3092",1136568,"UT Yadav","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",4,"N",NA,"A Deshmukh/S Ravi","date","13/04/2018","team1","Royal Challengers Bangalore"
"3093",1136569,"JJ Roy","Delhi Daredevils","field","Delhi Daredevils","wickets",7,"N",NA,"KN Ananthapadmanabhan/Nitin Menon","date","14/04/2018","team1","Mumbai Indians"
"3094",1136570,"B Stanlake","Sunrisers Hyderabad","field","Sunrisers Hyderabad","wickets",5,"N",NA,"AK Chaudhary/A Nand Kishore","date","14/04/2018","team1","Kolkata Knight Riders"
"3095",1136571,"SV Samson","Royal Challengers Bangalore","field","Rajasthan Royals","runs",19,"N",NA,"C Shamshuddin/S Ravi","date","15/04/2018","team1","Royal Challengers Bangalore"
"3096",1136572,"CH Gayle","Chennai Super Kings","field","Kings XI Punjab","runs",4,"N",NA,"VA Kulkarni/CK Nandan","date","15/04/2018","team1","Kings XI Punjab"
"3097",1136573,"N Rana","Delhi Daredevils","field","Kolkata Knight Riders","runs",71,"N",NA,"AK Chaudhary/A Nand Kishore","date","16/04/2018","team1","Kolkata Knight Riders"
"3098",1136574,"RG Sharma","Royal Challengers Bangalore","field","Mumbai Indians","runs",46,"N",NA,"RJ Tucker/Nitin Menon","date","17/04/2018","team1","Mumbai Indians"
"3099",1136575,"N Rana","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",7,"N",NA,"A Deshmukh/S Ravi","date","18/04/2018","team1","Rajasthan Royals"
"3100",1136576,"CH Gayle","Kings XI Punjab","bat","Kings XI Punjab","runs",15,"N",NA,"NJ Llong/AK Chaudhary","date","19/04/2018","team1","Kings XI Punjab"
"3101",1136577,"SR Watson","Rajasthan Royals","field","Chennai Super Kings","runs",64,"N",NA,"KN Ananthapadmanabhan/Nitin Menon","date","20/04/2018","team1","Chennai Super Kings"
"3102",1136578,"KL Rahul","Kings XI Punjab","field","Kings XI Punjab","wickets",9,"N","D/L","C Shamshuddin/A Deshmukh","date","21/04/2018","team1","Kolkata Knight Riders"
